run_id,method_family,seed_value,corruption_fraction,confidence,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges,edge_count_from_thresholded_adjacency
soft_frobenius__main_evaluation__seed501__cfgd8b09dc8a147,soft_frobenius,501,0.6,0.75,10,0.020154106771046752,0.0,0.093154951011677,11
soft_frobenius__main_evaluation__seed501__cfgdfbbb8afbc2e,soft_frobenius,501,0.4,0.0,10,0.13227968860829262,0.3,0.08046120625442937,11
soft_frobenius__main_evaluation__seed501__cfge03d94852538,soft_frobenius,501,0.0,0.5,10,0.07392745217016342,0.1,0.0803025133338325,10
soft_frobenius__main_evaluation__seed501__cfgf4987c3f49e1,soft_frobenius,501,0.6,0.25,10,0.024556477380985514,0.0,0.09338326651079339,11
soft_frobenius__main_evaluation__seed501__cfgfa468e0898ed,soft_frobenius,501,0.6,0.0,10,0.027525908358236408,0.0,0.09355542878568639,11
soft_frobenius__main_evaluation__seed501__cfgffdbe4703a79,soft_frobenius,501,0.4,0.75,10,0.06980504400613927,0.0,0.07976142936584807,8
soft_frobenius__main_evaluation__seed502__cfg0762a12d0c67,soft_frobenius,502,0.6,0.25,10,0.1064170481707037,0.1,0.09283544519270216,11
soft_frobenius__main_evaluation__seed502__cfg15d77d550526,soft_frobenius,502,0.4,1.0,10,0.020088805100063646,0.0,0.1038831501161682,12
soft_frobenius__main_evaluation__seed502__cfg20d39d1a0a55,soft_frobenius,502,0.6,0.75,10,0.03684082290537774,0.0,0.10181765703981123,12
soft_frobenius__main_evaluation__seed502__cfg31087d35cda4,soft_frobenius,502,0.6,1.0,10,0.029531172366420434,0.0,0.10272669036376418,12
soft_frobenius__main_evaluation__seed502__cfg4064872d7057,soft_frobenius,502,0.2,0.75,10,0.043197445407404285,0.1,0.10035260343867833,12
soft_frobenius__main_evaluation__seed502__cfg415dacad3f7d,soft_frobenius,502,0.0,1.0,10,0.03564175207037754,0.1,0.10121554683806855,13
soft_frobenius__main_evaluation__seed502__cfg5adc896686e1,soft_frobenius,502,0.0,0.75,10,0.043352973601280535,0.1,0.1003326791802454,12
soft_frobenius__main_evaluation__seed502__cfg6852bfaf07be,soft_frobenius,502,0.8,1.0,10,0.1766618445113806,0.3,0.07595849257738681,12
soft_frobenius__main_evaluation__seed502__cfg6dafef88571a,soft_frobenius,502,0.0,0.5,10,0.05551200394833268,0.1,0.09893505527178731,12
soft_frobenius__main_evaluation__seed502__cfg72002cbc684d,soft_frobenius,502,0.2,0.25,10,0.07062258111409245,0.1,0.09744784060741347,12
soft_frobenius__main_evaluation__seed502__cfg76121c83079c,soft_frobenius,502,0.4,0.25,10,0.05603076152139286,0.1,0.09951938709264467,12
soft_frobenius__main_evaluation__seed502__cfg8165bda114be,soft_frobenius,502,0.4,0.5,10,0.035178211489564376,0.1,0.10205092760013583,13
soft_frobenius__main_evaluation__seed502__cfg8719a714a94a,soft_frobenius,502,0.6,0.5,10,0.04903074612315515,0.1,0.10030718748680993,12
soft_frobenius__main_evaluation__seed502__cfg97b40fa27112,soft_frobenius,502,0.4,0.75,10,0.025595488004389155,0.0,0.1032078146166802,12
soft_frobenius__main_evaluation__seed502__cfg9cf863aedf60,soft_frobenius,502,0.8,0.75,10,0.20420347815067705,0.3,0.07284225620917098,11
soft_frobenius__main_evaluation__seed502__cfga8d22f770477,soft_frobenius,502,0.6,0.0,10,0.1431681892976528,0.2,0.08925254068553637,12
soft_frobenius__main_evaluation__seed502__cfgad6588f50674,soft_frobenius,502,0.8,0.0,10,0.39431532530125907,0.5,0.057859148685085585,12
soft_frobenius__main_evaluation__seed502__cfgba56bd2dff4b,soft_frobenius,502,0.0,0.25,10,0.07089296306920419,0.1,0.09740183926642179,12
soft_frobenius__main_evaluation__seed502__cfgbcd7f4dba5f4,soft_frobenius,502,0.8,0.5,10,0.24386367740342743,0.4,0.06912706825612469,13
soft_frobenius__main_evaluation__seed502__cfgc064e955d104,soft_frobenius,502,0.8,0.25,10,0.3060195478243221,0.5,0.06421820124150049,13
soft_frobenius__main_evaluation__seed502__cfgcc01b760cb9e,soft_frobenius,502,0.2,0.0,10,0.07779466125112026,0.1,0.09742423169135293,12
soft_frobenius__main_evaluation__seed502__cfgcc39d6658ade,soft_frobenius,502,0.4,0.0,10,0.07974893416420799,0.1,0.09717994757721697,12
soft_frobenius__main_evaluation__seed502__cfgd29312e48e1c,soft_frobenius,502,0.2,1.0,10,0.03550785411090059,0.1,0.10122976636937478,13
soft_frobenius__main_evaluation__seed502__cfgd65df878f95e,soft_frobenius,502,0.2,0.5,10,0.055299303465663904,0.1,0.09896947645114457,12
soft_frobenius__main_evaluation__seed502__cfgf95e2cd848c5,soft_frobenius,502,0.0,0.0,10,0.07816415241558684,0.1,0.09737804529579461,12
soft_frobenius__main_evaluation__seed503__cfg11516bab7273,soft_frobenius,503,0.2,1.0,10,0.03175598543282161,0.1,0.10313582794283194,14
soft_frobenius__main_evaluation__seed503__cfg1e220ee17db4,soft_frobenius,503,0.6,0.75,10,0.10355857476400507,0.2,0.08905353442856859,13
soft_frobenius__main_evaluation__seed503__cfg30f18d667785,soft_frobenius,503,0.2,0.0,10,0.059815355825306074,0.1,0.10053376194850858,13
soft_frobenius__main_evaluation__seed503__cfg326e30c48460,soft_frobenius,503,0.4,0.0,10,0.058408176739957664,0.1,0.10070965933417715,13
soft_frobenius__main_evaluation__seed503__cfg4f520989ae6b,soft_frobenius,503,0.6,0.5,10,0.11732348964172035,0.2,0.0887283980965414,13
soft_frobenius__main_evaluation__seed503__cfg51f72ea049bc,soft_frobenius,503,0.8,0.25,10,0.12981336644877933,0.2,0.08913052515597582,13
soft_frobenius__main_evaluation__seed503__cfg615a9c3f812e,soft_frobenius,503,0.4,0.75,10,0.011771231864290355,0.0,0.1131698133728499,13
soft_frobenius__main_evaluation__seed503__cfg6c186f011cc3,soft_frobenius,503,0.0,0.0,10,0.0008293146061125129,0.0,0.1079070171009078,13
